State,District,Season,forecast_T_Avg,forecast_R_Total,T_Avg_anomaly_z,R_Total_anomaly_z,Climate_Label,method_T_Avg,method_R_Total,history_years,status
Arunachal Pradesh,Changlang,Whole Year,20.857,2605.96,0.077,0.273,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Changlang,Winter,15.4,109.99,-0.28,0.197,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Dibang Valley,Autumn,7.886,413.19,1.069,-0.098,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Dibang Valley,Kharif,10.633,926.3,1.697,0.064,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Dibang Valley,Rabi,0.27,222.39,0.23,0.736,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Dibang Valley,Summer,5.791,594.03,0.808,0.395,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Dibang Valley,Whole Year,4.989,1270.29,1.101,0.118,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Dibang Valley,Winter,-1.333,51.37,0.138,0.039,Normal,prophet,prophet,26,ok
Arunachal Pradesh,East Kameng,Autumn,17.345,705.29,0.519,0.389,Normal,prophet,prophet,26,ok
Arunachal Pradesh,East Kameng,Kharif,19.592,1499.15,1.585,0.045,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,East Kameng,Rabi,10.96,286.11,-0.212,0.748,Normal,prophet,prophet,26,ok
Arunachal Pradesh,East Kameng,Summer,15.976,1095.49,0.008,0.674,Normal,prophet,prophet,27,ok
Arunachal Pradesh,East Kameng,Whole Year,14.961,2022.95,0.159,-0.002,Normal,prophet,prophet,26,ok
Arunachal Pradesh,East Kameng,Winter,9.192,46.24,-0.478,-0.353,Normal,prophet,prophet,26,ok
Arunachal Pradesh,East Siang,Autumn,26.299,1127.65,0.67,0.055,Normal,prophet,prophet,26,ok
Arunachal Pradesh,East Siang,Kharif,28.522,2351.24,1.917,-0.122,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,East Siang,Rabi,20.03,536.0,-0.399,0.527,Normal,prophet,prophet,26,ok
Arunachal Pradesh,East Siang,Summer,24.938,1385.58,-0.977,0.119,Normal,prophet,prophet,27,ok
Arunachal Pradesh,East Siang,Whole Year,23.999,3171.1,0.183,-0.136,Normal,prophet,prophet,26,ok
Arunachal Pradesh,East Siang,Winter,18.449,111.94,-0.208,-0.017,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kamle,Autumn,24.308,965.36,0.648,0.192,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kamle,Kharif,26.439,2024.75,1.583,-0.026,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Kamle,Rabi,18.329,440.35,-0.35,0.666,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kamle,Summer,23.476,1353.26,-0.721,0.418,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Kamle,Whole Year,22.139,2902.87,-0.142,0.233,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kamle,Winter,16.69,82.99,-0.165,-0.153,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kra Daadi,Autumn,17.42,886.01,0.64,0.539,Normal,prophet,prophet,26,ok
